영화제목,평점,장르,국가,러닝타임
트루맛쇼,9.26,다큐멘터리,한국,70분
마이클	잭슨의	디스	이즈	잇,9.26,다큐멘터리,미국,111분
동방불패,9.25,"액션, 드라마",홍콩,107분
하이	스쿨	뮤지컬:	졸업반,9.25,"뮤지컬, 코미디, 멜로/로맨스",미국,111분
폴리스	스토리,9.25,"액션, 코미디",홍콩,99분
에이트	빌로우,9.25,"모험, 드라마, 액션",미국,120분
도가니,9.25,드라마,한국,125분
본	얼티메이텀,9.25,"액션, 미스터리, 스릴러","미국, 독일",115분
가위손,9.25,"판타지, 멜로/로맨스",미국,100분
토이	스토리	2	(30),9.25,"애니메이션, 모험",미국,92분
친정엄마,9.25,드라마,한국,108분
고	녀석	맛나겠다,9.25,"애니메이션, 가족, 모험",일본,89분
117	 브레이브하트,9.24,"액션, 드라마, 전쟁",미국,177분
명탐정	코난:	베이커가의	망령,9.24,애니메이션,일본,106분
몬스터	주식회사	3D,9.24,"애니메이션, 가족, 모험",미국,92분
"님아,	그	강을	건너지	마오",9.24,다큐멘터리,한국,86분
인크레더블,9.24,"애니메이션, 액션, 코미디",미국,121분
신데렐라	맨,9.24,"드라마, 멜로/로맨스",미국,144분
엽문,9.24,"액션, 드라마",홍콩,106분
바람계곡의	나우시카,9.24,"애니메이션, SF",일본,116분
오아시스,9.24,드라마,한국,132분
이집트	왕자,9.24,"애니메이션, 가족, 모험",미국,99분
잉여들의	히치하이킹,9.24,다큐멘터리,한국,105분
명탐정	코난:	천공의	난파선,9.23,"애니메이션, 모험, 가족",미국,103분
리멤버	타이탄,9.23,"가족, 드라마",미국,113분
아기공룡	둘리	-	얼음별	대모험,9.23,"애니메이션, 가족,모험",한국,80분
바람과	함께	사라지다,9.23,"드라마, 전쟁, 멜로/로맨스",미국,222분
해바라기,9.23,"액션, 드라마",한국,116분
"광해,	왕이	된	남자",9.23,드라마,한국,131분
킹콩을	들다,9.23,드라마,한국,120분
피아니스트의	전설,9.23,드라마,이탈리아,123분
늑대와	춤을,9.23,"서부, 드라마, 모험","미국, 영국",183분
다이	하드,9.23,"액션, 스릴러, 범죄",미국,131분
마이너리티	리포트	(42),9.23,"SF, 드라마, 미스터리",미국,145분
콘택트,9.23,SF,미국,145분
페이스	오프,9.23,액션,미국,138분
뷰티풀	마인드,9.23,드라마,미국,135분
패밀리	맨,9.23,"드라마, 멜로/로맨스",미국,124분
쿨	러닝,9.23,"드라마, 코미디",미국,95분
크루즈	패밀리,9.22,"애니메이션, 모험, 코미디",미국,98분
로마의	휴일,9.22,"드라마, 멜로/로맨스",미국,118분
록키	2,9.22,"액션, 드라마",미국,121분
칼리토,9.22,"범죄, 드라마, 스릴러",미국,145분
시스터	액트,9.22,"코미디, 범죄, 뮤지컬",미국,100분
마지막	황제,9.22,"드라마, 서사","미국, 프랑스, 영국, 이탈리아",162분
그랜	토리노	(38),9.19,"범죄, 드라마",미국,116분
서유기	-	월광보합,9.19,"코미디, 액션, 모험",홍콩,88분
뻐꾸기	둥지	위로	날아간	새,9.19,드라마,미국,129분
영웅본색,9.19,"액션, 범죄, 느와르",홍콩,95분
보디가드,9.19,액션,홍콩,92분
마스크,9.19,"코미디, 판타지, 액션",미국,97분
라디오	스타,9.19,"코미디, 드라마",한국,115분
첫	키스만	50번째,9.18,"멜로/로맨스, 코미디",미국,99분
그린	마일,9.18,"범죄, 드라마",미국,188분
분노의	역류,9.18,드라마,미국,132분
어바웃	타임	(54),9.18,"멜로/로맨스, 코미디",영국,123분
빠삐용,9.18,"모험, 범죄, 드라마","미국, 프랑스",150분
식코	(22),9.18,다큐멘터리,미국,120분
시월애,9.17,"멜로/로맨스, 판타지",한국,94분
공공의	적,9.17,"범죄, 액션",한국,138분
싸이코,9.17,"공포, 스릴러",미국,109분
코치	카터,9.17,드라마,미국,136분
캐치	미	이프	유	캔,9.17,"범죄, 스릴러",미국,140분
파워	오브	원,9.17,드라마,"오스트레일리아, 미국",123분
아메리칸	히스토리	X	(96),9.17,"범죄, 스릴러, 드라마",미국,117분
겨울왕국,9.17,"애니메이션, 모험",미국,108분
이티,9.16,"SF, 판타지, 가족",미국,110분
빅	히어로,9.16,"애니메이션, 액션",미국,108분
비상,9.16,다큐멘터리,한국,100분
체인질링	(30),9.16,"드라마, 범죄, 미스터리",미국,141분
빅	(38),9.16,"코미디, 드라마, 판타지",미국,104분
마틸다,9.16,"코미디, 가족, 판타지",미국,98분
어	퓨	굿	맨,9.16,"범죄, 미스터리",미국,137분
아름다운	세상을	위하여	(72),9.16,"드라마, 멜로/로맨스",미국,122분
말하는	건축가,9.16,다큐멘터리,한국,95분
해리	포터와	마법사의	돌,9.16,"판타지, 가족, 모험","영국, 미국",152분
아름다운	비행,9.22,"가족, 모험, 드라마",미국,107분
석양의	무법자,9.22,"서부, 액션, 드라마","이탈리아, 스페인, 독일(구 서독)",161분
똥파리,9.21,드라마,한국,130분
갓파	쿠와	여름방학을,9.21,애니메이션,일본,138분
로보캅,9.21,"SF, 액션, 범죄",미국,103분
대부	2,9.21,"범죄, 드라마",미국,200분
아저씨,9.21,"액션, 범죄, 드라마",한국,119분
밴디트,9.21,드라마,"독일, 프랑스",106분
대부,9.21,"범죄, 드라마",미국,175분
타인의	삶,9.21,드라마,독일,137분
대부	3,9.21,"범죄, 드라마",,171분
8월의	크리스마스,9.21,"드라마, 멜로/로맨스",한국,97분
나비	효과,9.21,"드라마, SF, 스릴러",미국,113분
가타카	(18),9.21,"SF, 드라마",미국,106분
스쿨	오브	락	(46),9.2,"가족, 코미디","미국, 독일",108분
이웃집	토토로,9.2,"애니메이션, 가족, 판타지",일본,87분
취권,9.2,"코미디, 액션",홍콩,107분
